count,message,machine_translation,case_date
1365,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид9386-22 от 05.07.2022,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id9386-22 of 05.07.2022,"Jul 5, 2022"
1737,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид9594-22 от 07.07.2022,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id9594-22 of 07.07.2022,"Jul 7, 2022"
83,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Треб1079-22 от 15.10.2022,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Treb1079-22 of 15.10.2022,"Oct 15, 2022"
3,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Треб1080-22 от 16.10.2022,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Treb1080-22 of 16.10.2022,"Oct 16, 2022"
157,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Треб646-22 от 27.05.2022,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Treb646-22 of 27.05.2022,"May 27, 2022"
3623,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Треб855-22 от 30.07.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Treb855-22 of 30.07.2022,"Jul 30, 2022"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2023/Ид2561-23 от 19.02.2023,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-31-2023/Id2561-23 of 19.02.2023,"Feb 19, 2023"
8,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2023/Ид4105-23 от 20.03.2023,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2023/Id4105-23 of 20.03.2023,"Mar 20, 2023"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 01.02.2023 № 27-31-2023/Ид1408-23,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2023/Id1408-23 from 01.02.2023,"Feb 1, 2023"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 01.03.2023 № 27-31-2023/Ид2978-23,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-31-2023/Id2978-23 from 01.03.2023,"Mar 1, 2023"
1806,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 01.04.2022 № 27-31-2022/Ид4326-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id4326-22 from 01.04.2022,"Apr 1, 2022"
5,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 01.07.2022 № 27-31-2022/Ид9176-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id9176-22 dated 01.07.2022,"Jul 1, 2022"
565,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 01.09.2022 № 27-31-2022/Ид12237-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id12237-22 dated 01.09.2022,"Sep 1, 2022"
2301,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 01.11.2022 № 27-31-2022/Ид15588-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id15588-22 dated 01.11.2022,"Nov 1, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 01.12.2022 № 27-31-2022/Ид17424-22,"This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id17424-22 dated December 1, 2022","Dec 1, 2022"
4,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 02.04.2022 № 27-31-2022/Ид4340-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id4340-22 dated 02.04.2022,"Apr 2, 2022"
890,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 02.06.2022 № 27-31-2022/Ид7537-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id7537-22 dated 02.06.2022,"Jun 2, 2022"
6,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 02.06.2022 № 27-31-2022/Ид7538-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id7538-22 dated 02.06.2022,"Jun 2, 2022"
46,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 02.07.2022 № 27-31-2022/Треб808-22,This material is blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Treb808-22 dated 02.07.2022,"Jul 2, 2022"
8,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 02.09.2022 № 27-31-2022/Ип26556-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/IP26556-22 dated 02.09.2022,"Sep 2, 2022"
4,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 03.03.2023 № 27-31-2023/Ид3168-23,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2023/Id3168-23 from 03.03.2023,"Mar 3, 2023"
1182,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 03.05.2022 № 27-31-2022/Треб541-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Treb541-22 dated 03.05.2022,"May 3, 2022"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 03.06.2015 № 27-31-2015/Ид1762-15,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation from 03.06.2015 № 27-31-2015/Id1762-15,"Jun 3, 2015"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 03.06.2022 № 27-31-2022/Ид7537-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id7537-22 dated 03.06.2022,"Jun 3, 2022"
95,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 03.06.2022 № 27-31-2022/Ид7622-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id7622-22 dated 03.06.2022,"Jun 3, 2022"
5,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 03.08.2021 № 27-31-2020/Ид8999-21,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2020/Id8999-21 from 03.08.2021,"Aug 3, 2021"
152,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 03.08.2022 № 27-31-2022/Ид10791-22,This material was blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id10791-22 dated 03.08.2022,"Aug 3, 2022"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 03.08.2022 № 27-31-2022/Ид10845-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id10845-22 dated 03.08.2022,"Aug 3, 2022"
10,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 03.10.2014 № 27-27-2014/Ид3328-14,This material was blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation from 03.10.2014 № 27-27-2014/Id3328-14,"Oct 3, 2014"
4213,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 04.07.2022 № 27-31-2022/Ид9241-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id9241-22 dated 04.07.2022,"Jul 4, 2022"
225,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 04.08.2022 № 27-31-2022/Ид10871-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id10871-22 dated 04.08.2022,"Aug 4, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 04.10.2019 № 27-31-2019/Ид8767-19,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation from 04.10.2019 № 27-31-2019/Id8767-19,"Oct 4, 2019"
50,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 04.10.2022 № 27-31-2022/Ид13897-22,This material is blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id13897-22 dated 04.10.2022,"Oct 4, 2022"
4,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 04.11.2022 № 27-31-2022/Ид15860-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id15860-22 dated 04.11.2022,"Nov 4, 2022"
184,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 04.12.2015 № 27-31-2015/Ид4082-15,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation from 04.12.2015 № 27-31-2015/Id4082-15,"Dec 4, 2015"
14966,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.04.2022 № 27-31-2022/Ид4465-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id4465-22 dated 05.04.2022,"Apr 5, 2022"
38,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.04.2022 № 27-31-2022/Ид4499-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id4499-22 dated 05.04.2022,"Apr 5, 2022"
15,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.04.2022 № 27-31-2022/Ид4564-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id4564-22 dated 05.04.2022,"Apr 5, 2022"
28,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.06.2022 № 27-31-2022/Ид7651-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id7651-22 dated 05.06.2022,"Jun 5, 2022"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.07.2017 № 27-31-2017/Ид3165-17,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation from 05.07.2017 № 27-31-2017/Id3165-17,"Jul 5, 2017"
23,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.07.2022 № 27-31-2022/Ид9386-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id9386-22 dated 05.07.2022,"Jul 5, 2022"
9,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.08.2022 № 27-31-2022/Ид10923-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id10923-22 dated 05.08.2022,"Aug 5, 2022"
24,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.09.2022 № 27-31-2022/Ид26598-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id26598-22 dated 05.09.2022,"Sep 5, 2022"
4,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.10.2016 № 27-31-2016/Ид4189-16,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation from 05.10.2016 № 27-31-2016/Id4189-16,"Oct 5, 2016"
5,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.10.2022 № 27-31-2022/Ид14027-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14027-22 dated 05.10.2022,"Oct 5, 2022"
177,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.12.2022 № 27-31-2022/Ид17610-22,"This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id17610-22 dated December 5, 2022.","Dec 5, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 05.12.2022 № 27-31-2022/Ид17635-22,"This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id17635-22 dated December 05, 2022.","Dec 5, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 06.04.2022 № 27-31-2022/Ид4607-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id4607-22 dated 06.04.2022,"Apr 6, 2022"
156,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 06.05.2022 № 27-31-2022/Ид6165-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id6165-22 dated 06.05.2022,"May 6, 2022"
77,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 06.09.2022 № 27-31-2022/Ид12445-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id12445-22 dated 06.09.2022,"Sep 6, 2022"
585,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 07.05.2022 № 27-31-2022/Ид6253-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id6253-22 dated 07.05.2022,"May 7, 2022"
9,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 07.06.2022 № 27-31-2022/Ид7720-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id7720-22 dated 07.06.2022,"Jun 7, 2022"
7,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 07.06.2022 № 27-31-2022/Ид7736-22,This material is blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id7736-22 dated 07.06.2022,"Jun 7, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 07.09.2022 № 27-31-2022/Ид12514-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id12514-22 dated 07.09.2022,"Sep 7, 2022"
9,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 08.06.2022 № 27-31-2022/Ид7817-22,This material is blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id7817-22 dated 08.06.2022,"Jun 8, 2022"
546,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 08.07.2022 № 27-31-2022/Ид9689-22,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id9689-22 dated 08.07.2022,"Jul 8, 2022"
257,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 08.10.2022 № 27-31-2022/Треб1046-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Treb1046-22 dated 08.10.2022,"Oct 8, 2022"
51,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 08.11.2022 № 27-31-2022/Ид15947-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id15947-22 dated 08.11.2022,"Nov 8, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 09.03.2022 № 27-31-2022/Треб273-22,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Treb273-22 dated 09.03.2022,"Mar 9, 2022"
45,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 09.04.2022 № 27-31-2022/Ид4854-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id4854-22 dated 09.04.2022,"Apr 9, 2022"
9,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 09.07.2022 № 27-31-2022/Ид9701-22,This material has been blocked on the territory of the Russian Federation based on the demand of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id9701-22 dated 09.07.2022,"Jul 9, 2022"
6338,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 09.08.2022 № 27-31-2022/Ид11013-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id11013-22 dated 09.08.2022,"Aug 9, 2022"
164,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 09.08.2022 № 27-31-2022/Ид11049-22,This material is blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id11049-22 dated 09.08.2022,"Aug 9, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 09.08.2022 № 73/3-105-2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 73/3-105-2022 dated 09.08.2022,"Aug 9, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 10.03.2023 № 27-31-2023/Ид3614-23,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2023/Id3614-23 dated 10.03.2023,"Mar 10, 2023"
27,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 10.04.2022 № 27-31-2022/Ид4859-22,This material is blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id4859-22 dated 10.04.2022,"Apr 10, 2022"
101,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 10.05.2022 № 27-31-2002/Ид6260-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-31-2002/Id6260-22 dated 10.05.2022,"May 10, 2022"
150,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 10.05.2022 № 27-31-2002/Ид6264-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-31-2002/Id6264-22 dated 10.05.2022,"May 10, 2022"
6,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 10.06.2022 № 27-31-2022/Ид7963-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id7963-22 dated 10.06.2022,"Jun 10, 2022"
74,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 10.08.2022 № 27-31-2022/Ид11131-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id11131-22 dated 10.08.2022,"Aug 10, 2022"
14,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 10.09.2022 № 27-31-2022/Иф11763-22,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/IF11763-22 dated 10.09.2022,"Sep 10, 2022"
130,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 10.10.2022 № 27-31-2022/Ид14252-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id14252-22 dated 10.10.2022,"Oct 10, 2022"
4,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 10.10.2022 № 27-31-2022/Ид14256-22,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14256-22 dated 10.10.2022,"Oct 10, 2022"
161,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 11.04.2022 № 27-31-2022/Ид4828-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id4828-22 dated 11.04.2022,"Apr 11, 2022"
17,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 11.04.2023 № 27-31-2023/Ид5400-23,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-31-2023/Id5400-23 dated 11.04.2023,"Apr 11, 2023"
30,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 11.05.2022 № 27-31-2022/Треб572-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Treb572-22 dated 11.05.2022,"May 11, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 11.05.2022 № 27-31-2022/Треб574-22,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Treb574-22 dated 11.05.2022,"May 11, 2022"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 11.08.2022 № 27-31-2022/Ид10968-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id10968-22 dated 11.08.2022,"Aug 11, 2022"
7,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 11.08.2022 № 27-31-2022/Ид11159-22,This material is blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id11159-22 dated 11.08.2022,"Aug 11, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 11.09.2022 № 27-31-2022/Треб973-22,This material is blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Treb973-22 dated 11.09.2022,"Sep 11, 2022"
117,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 11.10.2022 № 27-31-2022/Ид14336-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id14336-22 dated 11.10.2022,"Oct 11, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-1,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation from 12.03.2015 № 27-31-2015/Id831-1,"Mar 12, 2015"
29654,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation from 12.03.2015 № 27-31-2015/Id831-15,"Mar 12, 2015"
1,"Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15 , как содержащего призывы к массовым беспорядкам, осуществлению экстремистской деятельности, участию в массовых (публичных) мероприятиях, проводимых с нарушением установленного порядка.","This material was blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation of 12.03.2015 № 27-31-2015/Id831-15 as containing calls for mass disorder, extremist activities, participation in mass (public) events held in violation of the established order.","Mar 12, 2015"
220,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.04.2022 № 27-31-2022/Ид4952-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/Id4952-22 dated 12.04.2022,"Apr 12, 2022"
4,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.04.2023 № 27-31-2023/Ид5494-23,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2023/Id5494-23 from 12.04.2023,"Apr 12, 2023"
51,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.05.2022 № 27-31-2022/Теб576-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Teb576-22 dated 12.05.2022,"May 12, 2022"
19,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.06.2022 № 27-31-2022/Треб718-22,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Treb718-22 dated 12.06.2022,"Jun 12, 2022"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.08.2022 27-31-2022/Ид11076-22,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation dated 12.08.2022 27-31-2022/Id11076-22,"Aug 12, 2022"
38,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.08.2022 № 27-31-2022/Ид11204-22,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/ID11204-22 dated 12.08.2022,"Aug 12, 2022"
8,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.10.2022 № 27-31-2022/Ид14365-22,This material has been blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-31-2022/ID14365-22 dated 12.10.2022,"Oct 12, 2022"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 13.02.2023 № 27-31-2023/Ид2176-23,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2023/Id2176-23 from 13.02.2023,"Feb 13, 2023"
7,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 13.03.2014 № Исорг-27/3-3420-14,This material was blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation No. Isorg-27/3-3420-14 dated 13.03.2014,"Mar 13, 2014"
